track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276
HAPPY,NF,1,2023,3,25,660,0,52722996
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800
Sial,Mahalini,1,2023,1,23,134,4,166570053
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389
PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,11,93438910
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272
WANDA,Quevedo,1,2023,1,20,888,22,175399345
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3,166,0,32526947
LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",3,2023,1,12,658,6,120972253
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836
People,Libianca,1,2022,12,2,3506,56,373199958
golden hour,JVKE,1,2022,7,15,4511,36,751134527
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093
Here With Me,d4vd,1,2022,7,17,3246,23,635412045
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818
Snooze,SZA,1,2022,12,9,2839,25,399686758
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836
Ditto,NewJeans,1,2022,12,19,1154,22,397582059
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651
Players,Coi Leray,1,2022,11,30,4096,6,335074782
Normal,Feid,1,2022,7,8,2461,36,459276435
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978
Komang,Raim Laode,1,2022,8,16,158,4,137123880
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295
Punto G,Quevedo,1,2022,11,4,1985,35,381161027
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764
Low,SZA,1,2022,12,9,1911,0,272377463
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336
LET GO,Central Cee,1,2022,12,15,2301,20,298063749
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316
Hype Boy,NewJeans,1,2022,8,1,892,17,363472647
Monotonï¿½,"Ozuna, Shakira",2,2022,10,19,3645,15,380726517
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498
Lovezinho,Treyce,1,2022,7,28,242,0,70069745
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14,609293408
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962
Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576
Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,263453310
Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,236857112
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,13,309483971
Maan Meri Jaan,King,1,2022,10,12,288,6,319566866
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624
Shirt,SZA,1,2022,10,28,3469,0,309653982
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354
Calm Down,Rï¿½ï,1,2022,2,9,4013,10,445763624
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9,606361689
TV,Billie Eilish,1,2022,7,21,3009,2,338564981
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4,222612678
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,304079786
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0,174006928
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823
Blind,SZA,1,2022,12,9,1484,0,163284000
Die For You,Joji,1,2022,11,4,1703,0,246390068
Doja,Central Cee,1,2022,7,20,4169,44,482257456
Gatita,Bellakath,1,2022,10,3,1054,0,168684524
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,428685680
Limbo,Freddie Dredd,1,2022,8,11,688,0,199386237
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0,213438580
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,227918678
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,462791599
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,6,366599607
Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329
Love Language,SZA,1,2022,12,9,1127,0,110849052
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250
Special,SZA,1,2022,12,9,906,0,88092256
SOS,SZA,1,2022,12,9,827,0,73981293
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938
Gone Girl,SZA,1,2022,12,9,892,0,65362788
F2F,SZA,1,2022,12,9,989,0,67540165
Notice Me,SZA,1,2022,12,9,819,0,62019074
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,0,301869854
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458
Conceited,SZA,1,2022,12,9,899,0,56870689
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339
Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341
Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647
Too Late,SZA,1,2022,12,8,714,0,49262961
